,area,perimeter,circularity,aspect_ratio,solidity,hole_ratio,contrast,homogeneity
dataset\bowl\No11-2_02.jpg,35746.0,2992.5180361560906,0.05016072001733201,1.1345831039791225,0.5861633570011314,0.3364105224609375,1257.1435196713148,0.11956722533342327
dataset\bowl\No11-5_02.jpg,40007.0,4402.3029201481895,0.02594095764446917,1.1446453497029652,0.6374500087634041,0.263824462890625,1688.5960221613545,0.11070688626754677
dataset\bowl\No11_01.jpg,51076.0,2632.604255869606,0.0926095095505376,1.0245414041992291,0.7850961464561845,0.2009124755859375,432.913829058765,0.17056963465361907
dataset\piled\c24-846_boul_040.jpg,54997.0,1621.2691193458118,0.262929092660325,1.067576025463306,0.8391876220703125,0.029388427734375,274.89316172808765,0.24016720476304718
dataset\piled\c24-846_boul_041.jpg,57406.0,1660.683332908185,0.2615733513477824,1.0588063540020967,0.875946044921875,0.121856689453125,400.0294291583665,0.22913061785296052
dataset\plane\plane_0.jpg,54247.0,1421.3036072312182,0.33745189635711087,1.0000098043269319,0.8277435302734375,0.0,1197.0701879980084,0.9640132000840556
